Codigo del diagnostico,Nombre del diagnostico,Sexo del diagnostico
A244,MELIOIDOSIS. NO ESPECIFICADA,A
A250,ESPIRILOSIS,A
A251,ESTREPTOBACILOSIS,A
A259,FIEBRE POR MORDEDURA DE RATA. NO ESPECIFICADA,A
A260,ERISIPELOIDE CUTANEO,A
A267,SEPSIS POR ERYSIPELOTHRIX,A
A268,OTRAS FORMAS DE ERISIPELOIDE,A
A269,ERISIPELOIDE. NO ESPECIFICADA,A
A270,LEPTOSPIROSIS ICTEROHEMORRAGICA,A
A278,OTRAS FORMAS DE LEPTOSPIROSIS,A
A279,LEPTOSPIROSIS. NO ESPECIFICADA,A
A280,PASTEURELOSIS,A
A281,ENFERMEDAD POR RASGUNO DE GATO,A
A282,YERSINIOSIS EXTRAINTESTINAL,A
A288,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS. NO CLASIFICADAS EN OTRA PARTE,A
A289,ENFERMEDAD ZOONOTICA BACTERIANA. SIN OTRA ESPECIFICACION,A
A300,LEPRA INDETERMINADA,A
A301,LEPRA TUBERCULOIDE,A
A302,LEPRA TUBERCULOIDE LIMITROFE,A
A303,LEPRA LIMITROFE,A
A304,LEPRA LEPROMATOSA LIMITROFE,A
A305,LEPRA LEPROMATOSA,A
A308,OTRAS FORMAS DE LEPRA,A
A309,LEPRA. NO ESPECIFICADA,A
A310,INFECCIONES POR MICOBACTERIAS PULMONARES,A
A311,INFECCION CUTANEA POR MICOBACTERIAS,A
A318,OTRAS INFECCIONES POR MICOBACTERIAS,A
A319,INFECCION POR MICOBACTERIA. NO ESPECIFICADA,A
A320,LISTERIOSIS CUTANEA,A
A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA,A
A327,SEPSIS LISTERIANA,A
A328,OTRAS FORMAS DE LISTERIOSIS,A
A329,LISTERIOSIS. NO ESPECIFICADA,A
A33X,TETANOS NEONATAL,A
A34X,TETANOS OBSTETRICO,F
A35X,OTROS TETANOS,A
A360,DIFTERIA FARINGEA,A
A361,DIFTERIA NASOFARINGEA,A
A362,DIFTERIA LARINGEA,A
A363,DIFTERIA CUTANEA,A
A368,OTRAS DIFTERIAS,A
A369,DIFTERIA. NO ESPECIFICADA,A
A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS,A
A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS,A
A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA,A
A379,TOS FERINA. NO ESPECIFICADA,A
A38X,ESCARLATINA,A
A390,MENINGITIS MENINGOCOCICA,A
A391,SINDROME DE WATERHOUSE-FRIDERICHSEN,A
A392,MENINGOCOCEMIA AGUDA,A
A393,MENINGOCOCEMIA CRONICA,A
A394,MENINGOCOCEMIA. NO ESPECIFICADA,A
A395,ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO,A
A398,OTRAS FORMAS DE ENFERMEDAD MENINGOCOCICA,A
A399,ENFERMEDAD MENINGOCOCICA. NO ESPECIFICADA,A
A400,SEPSIS DEBIDA A ESTREPTOCOCO. GRUPO A,A
A401,SEPSIS DEBIDA A ESTREPTOCOCO. GRUPO B,A
A402,SEPSIS DEBIDA A ESTREPTOCOCO. GRUPO D,A
A403,SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE,A
A408,OTRAS SEPSIS ESTREPTOCOCICAS,A
A409,SEPSIS ESTREPTOCOCICA. NO ESPECIFICADA,A
A410,SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS,A
A411,SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,A
A412,SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,A
A413,SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE,A
A414,SEPSIS DEBIDA A ANAEROBIOS,A
A415,SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,A
A418,OTRAS SEPSIS ESPECIFICADAS,A
A419,SEPSIS. NO ESPECIFICADA,A
A420,ACTINOMICOSIS PULMONAR,A
A421,ACTINOMICOSIS ABDOMINAL,A
A422,ACTINOMICOSIS CERVICOFACIAL,A
A427,SEPSIS ACTINOMICOTICA,A
A428,OTRAS FORMAS DE ACTINOMICOSIS,A
A429,ACTINOMICOSIS. SIN OTRA ESPECIFICACION,A
A430,NOCARDIOSIS PULMONAR,A
A431,NOCARDIOSIS CUTANEA,A
A438,OTRAS FORMAS DE NOCARDIOSIS,A
A439,NOCARDIOSIS. NO ESPECIFICADA,A
A440,BARTONELOSIS SISTEMICA,A
A441,BARTONELOSIS CUTANEA Y MUCOCUTANEA,A
A448,OTRAS FORMAS DE BARTONELOSIS,A
A449,BARTONELOSIS. NO ESPECIFICADA,A
A46X,ERISIPELA,A
A480,GANGRENA GASEOSA,A
A481,ENFERMEDAD DE LOS LEGIONARIOS,A
A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA (FIEBRE DE PONTIAC),A
A483,SINDROME DEL CHOQUE TOXICO,A
A484,FIEBRE PURPURICA BRASILENA,A
A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,A
A490,INFECCION ESTAFILOCOCICA. SITIO NO ESPECIFICADO,A
A491,INFECCION ESTREPTOCOCICA. SITIO NO ESPECIFICADO,A
A492,INFECCION POR HAEMOPHILUS INFLUENZAE. SITIO NO ESPECIFICADO,A
A493,INFECCION POR MICOPLASMA. SITIO NO ESPECIFICADO,A
A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,A
A499,INFECCION BACTERIANA. NO ESPECIFICADA,A
A500,SIFILIS CONGENITA PRECOZ. SINTOMATICA,A
A501,SIFILIS CONGENITA PRECOZ. LATENTE,A
A502,SIFILIS CONGENITA PRECOZ. SIN OTRA ESPECIFICACION,A
A503,OCULOPATIA SIFILITICA CONGENITA TARDIA,A
A504,NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL],A
A505,OTRAS FORMAS DE SIFILIS CONGENITA TARDIA. SINTOMATICA,A
A506,SIFILIS CONGENITA TARDIA. LATENTE,A
A507,SIFILIS CONGENITA TARDIA. SIN OTRA ESPECIFICACION,A
A509,SIFILIS CONGENITA. SIN OTRA ESPECIFICACION,A
A510,SIFILIS GENITAL PRIMARIA,A
A511,SIFILIS PRIMARIA ANAL,A
A512,SIFILIS PRIMARIA EN OTROS SITIOS,A
A513,SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS,A
A514,OTRAS SIFILIS SECUNDARIAS,A
A515,SIFILIS PRECOZ. LATENTE,A
A519,SIFILIS PRECOZ. SIN OTRA ESPECIFICACION,A
A520,SIFILIS CARDIOVASCULAR,A
A521,NEUROSIFILIS SINTOMATICA,A
A522,NEUROSIFILIS ASINTOMATICA,A
A523,NEUROSIFILIS NO ESPECIFICADA,A
A527,OTRAS SIFILIS TARDIAS SINTOMATICAS,A
A528,SIFILIS TARDIA. LATENTE,A
A529,SIFILIS TARDIA. NO ESPECIFICADA,A
A530,SIFILIS LATENTE. NO ESPECIFICADA COMO PRECOZ O TARDIA,A
A539,SIFILIS. NO ESPECIFICADA,A
A540,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL Y DE GLANDULA ACCESORIA,A
A541,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS,A
A542,PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS,A
A543,INFECCION GONOCOCICA DEL OJO,A
A544,INFECCION GONOCOCICA DEL SISTEMA OSTEOMUSCULAR,A
A545,FARINGITIS GONOCOCICA,A
A546,INFECCION GONOCOCICA DEL ANO Y DEL RECTO,A
A548,OTRAS INFECCIONES GONOCOCICAS,A
A549,INFECCION GONOCOCICA. NO ESPECIFICADA,A
A55X,LINFOGRANULOMA (VENEREO) POR CLAMIDIAS,A
A560,INFECCION DEL TRACTO GENITOURINARIO INFERIOR DEBIDA A CLAMIDIAS,A
A561,INFECCION DEL PELVIPERITONEO Y OTROS ORGANOS GENITOURINARIOS DEBIDA A CLAMIDIAS,A
A562,INFECCIONES DEL TRACTO GENITOURINARIO DEBIDAS A CLAMIDIAS. SIN OTRA ESPECIFICACION,A
A563,INFECCION DEL ANO Y DEL RECTO DEBIDA A CLAMIDIAS,A
A564,INFECCION DE FARINGE DEBIDA A CLAMIDIAS,A
A568,INFECCION DE TRANSMISION SEXUAL DE OTROS SITIOS DEBIDA A CLAMIDIAS,A
A57X,CHANCRO BLANDO,A
A58X,GRANULOMA INGUINAL,A
A590,TRICOMONIASIS UROGENITAL,A
A598,TRICOMONIASIS DE OTROS SITOS,A
A599,TRICOMONIASIS. NO ESPECIFICADA,A
A600,INFECCION DE GENITALES Y TRAYECTO UROGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE],A
A601,INFECCION DE LA PIEL PERIANAL Y RECTO POR VIRUS DEL HERPES SIMPLE,A
A609,INFECCION ANOGENITAL POR VIRUS DEL HERPES SIMPLE. SIN OTRA ESPECIFICACION,A
A630,VERRUGAS (VENEREAS) ANOGENITALES,A
A638,OTRAS ENFERMEDADES DE TRANSMISION PREDOMINANTEMENTE SEXUAL. ESPECIFICADAS,A
A64X,ENFERMEDAD DE TRANSMISION SEXUAL NO ESPECIFICADA,A
A65X,SIFILIS NO VENEREA,A
A660,LESIONES INICIALES DE FRAMBESIA,A
A661,LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO,A
A662,OTRAS LESIONES PRECOCES DE LA PIEL EN LA FRAMBESIA,A
A663,HIPERQUERATOSIS DE FRAMBESIA,A
A664,GOMA Y ULCERAS DE FRAMBESIA,A
A665,GANGOSA,A
A666,LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES,A
A667,OTRAS MANIFESTACIONES DE FRAMBESIA,A
A668,FRAMBESIA LATENTE,A
A669,FRAMBESIA. NO ESPECIFICADA,A
A670,LESIONES PRIMARIAS DE LA PINTA,A
A671,LESIONES INTERMEDIAS DE LA PINTA,A
A672,LESIONES TARDIAS DE LA PINTA,A
A673,LESIONES MIXTAS DE LA PINTA,A
A679,PINTA. NO ESPECIFICADA,A
A680,FIEBRE RECURRENTE TRANSMITIDA POR PIOJOS,A
A681,FIEBRE RECURRENTE TRANSMITIDA POR GARRAPATAS,A
A689,FIEBRE RECURRENTE. NO ESPECIFICADA,A
A690,ESTOMATITIS ULCERATIVA NECROTIZANTE,A
A691,OTRAS INFECCIONES DE VINCENT,A
A692,ENFERMEDAD DE LYME,A
A698,OTRAS INFECCIONES ESPECIFICADAS POR ESPIROQUETAS,A
A699,INFECCION POR ESPIROQUETA. NO ESPECIFICADA,A
A70X,INFECCION DEBIDA A CHLAMYDIA PSITTACI,A
A710,ESTADO INICIAL DE TRACOMA,A
A711,ESTADO ACTIVO DE TRACOMA,A
A719,TRACOMA. NO ESPECIFICADO,A
A740,CONJUNTIVITIS POR CLAMIDIAS,A
A748,OTRAS ENFERMEDADES POR CLAMIDIAS,A
A749,INFECCION POR CLAMIDIAS. NO ESPECIFICADA,A
A750,TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS,A
A751,TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL],A
A752,TIFUS DEBIDO A RICKETTSIA TYPHI,A
A753,TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI,A
A759,TIFUS. NO ESPECIFICADO,A
A770,FIEBRE MACULOSA DEBIDA A RICKETTSIA RICKETTSII,A
A771,FIEBRE MACULOSA DEBIDA A RICKETTSIA CONORII,A
A772,FIEBRE MACULOSA DEBIDA A RICKETTSIA SIBERICA,A
A773,FIEBRE MACULOSA DEBIDA A RICKETTSIA AUSTRALIS,A
A778,OTRAS FIEBRES MACULOSAS,A
A779,FIEBRE MACULOSA. NO ESPECIFICADA,A
A78X,FIEBRE Q,A
A790,FIEBRE DE LAS TRINCHERAS,A
A791,RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI,A
A798,OTRAS RICKETTSIOSIS ESPECIFICADAS,A
A799,RICKETTSIOSIS. NO ESPECIFICADA,A
A800,POLIOMIELITIS AGUDA PARALITICA. ASOCIADA A VACUNA,A
A801,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO,A
A802,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO,A
A803,OTRAS POLIOMIELITIS AGUDAS PARALITICAS Y LAS NO ESPECIFICADAS,A
A804,POLIOMIELITIS AGUDA NO PARALITICA,A
A809,POLIOMIELITIS AGUDA. SIN OTRA ESPECIFICACION,A
A810,ENFERMEDAD DE CREUTZFELDT-JAKOB,A
A811,PANENCEFALITIS ESCLEROSANTE SUBAGUDA,A
A812,LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA,A
A818,OTRAS INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO,A
A819,INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO. SIN OTRA ESPECIFICACION,A
A820,RABIA SELVATICA,A
A821,RABIA URBANA,A
A829,RABIA. SIN OTRA ESPECIFICACION,A
A830,ENCEFALITIS JAPONESA,A
A831,ENCEFALITIS EQUINA DEL OESTE,A
A832,ENCEFALITIS EQUINA DEL ESTE,A
A833,ENCEFALITIS DE SAN LUIS,A
A834,ENCEFALITIS AUSTRALIANA,A
A835,ENCEFALITIS DE CALIFORNIA,A
A836,ENFERMEDAD POR VIRUS ROCIO,A
A838,OTRAS ENCEFALITIS VIRALES TRANSMITIDAS POR MOSQUITOS,A
A839,ENCEFALITIS VIRAL TRANSMITIDA POR MOSQUITOS. SIN OTRA ESPECIFICACION,A
A840,ENCEFALITIS DEL LEJANO ORIENTE TRANSMITIDA POR GARRAPATAS [ENCEFALITIS PRIMAVEROESTIVAL RUSA],A
A841,ENCEFALITIS CENTROEUROPEA TRANSMITIDA POR GARRAPATAS,A
A848,OTRAS ENCEFALITIS VIRALES TRANSMITIDA POR GARRAPATAS,A
A849,ENCEFALITIS VIRAL TRANSMITIDA POR GARRAPATAS. SIN OTRA ESPECIFICACION,A
A850,ENCEFALITIS ENTEROVIRAL,A
A851,ENCEFALITIS POR ADENOVIRUS,A
A852,ENCEFALITIS VIRAL TRANSMITIDA POR ARTROPODOS. SIN OTRA ESPECIFCACION,A
A858,OTRAS ENCEFALITIS VIRALES ESPECIFCADAS,A
A86X,ENCEFALITIS VIRAL. NO ESPECIFICADA,A
A870,MENINGITIS ENTEROVIRAL,A
A871,MENINGITIS DEBIDA A ADENOVIRUS,A
A872,CORIOMENINGITIS LINFOCITICA,A
A878,OTRAS MENINGITIS VIRALES,A
A879,MENINGITIS VIRAL. SIN OTRA ESPECIFICACION,A
A880,FIEBRE EXANTEMATICA ENTEROVIRAL [EXANTEMA DE BOSTON],A
A881,VERTIGO EPIDEMICO,A
A888,OTRAS INFECCIONES VIRALES ESPECIFICADAS DEL SISTEMA NERVIOSO CENTRAL,A
A89X,INFECCION VIRAL DEL SISTEMA NERVIOSO CENTRAL. NO ESPECIFICADA,A
A90X,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99),A
A91X,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99),A
A920,ENFERMEDAD POR VIRUS CHIKUNGUNYA,A
A921,FIEBRE DE O'NYONG-NYONG,A
A922,FIEBRE EQUINA VENEZOLANA,A
A923,INFECCION POR VIRUS DEL OESTE DEL NILO,A
A924,FIEBRE DEL VALLE DEL RIFT,A
A925,ENFERMEDAD POR VIRUS ZIKA,A
A928,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS,A
A929,FIEBRE VIRAL TRANSMITIDA POR MOSQUITO. SIN OTRA ESPECIFICACION,A
A930,ENFERMEDAD POR VIRUS DE  OROPOUCHE,A
A931,FIEBRE TRANSMITIDA POR FLEBOTOMOS,A
A932,FIEBRE DE COLORADO TRANSMITIDA POR GARRAPATAS,A
A938,OTRAS FIEBRES VIRALES ESPECIFICADAS TRANSMITIDAS POR ARTROPODOS,A
A94X,FIEBRE VIRAL TRANSMITIDA POR ARTROPODOS. NO ESPECIFICADA,A
A950,FIEBRE AMARILLA SELVATICA,A
A951,FIEBRE AMARILLA URBANA,A
A959,FIEBRE AMARILLA. NO ESPECIFICADA,A
A960,FIEBRE HEMORRAGICA DE JUNIN,A
A961,FIEBRE HEMORRAGICA DE MACHUPO,A
A962,FIEBRE DE LASSA,A
A968,OTRAS FIEBRES HEMORRAGICAS POR ARENAVIRUS,A
A969,FIEBRE HEMORRAGICA POR ARENAVIRUS. SIN OTRA ESPECIFICACION,A
A970,DENGUE SIN SIGNOS DE ALARMA,A
A971,DENGUE CON SIGNOS DE ALARMA,A
A972,DENGUE SEVERO,A
A979,DENGUE NO ESPECIFICADO,A
A980,FIEBRE HEMORRAGICA DE CRIMEA-CONGO,A
A981,FIEBRE HEMORRAGICA DE OMSK,A
A982,ENFERMEDAD DE LA SELVA KYASANUR,A
A983,ENFERMEDAD POR EL VIRUS DE MARBURG,A
A984,ENFERMEDAD POR EL VIRUS DE EBOLA,A
A985,FIEBRES HEMORRAGICAS CON SINDROME RENAL,A
A988,OTRAS FIEBRES HEMORRAGICAS VIRALES ESPECIFICADAS,A
A99X,FIEBRE VIRAL HEMORRAGICA. NO ESPECIFICADA,A
B000,ECZEMA HERPETICO,A
B001,DERMATITIS VESICULAR HERPETICA,A
B002,GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPETICA,A
B003,MENINGITIS HERPETICA,A
B004,ENCEFALITIS HERPETICA,A
B005,OCULOPATIA HERPETICA,A
B007,ENFERMEDAD HERPETICA DISEMINADA,A
B008,OTRAS FORMAS DE INFECCIONES HERPETICAS,A
B009,INFECCION DEBIDA AL VIRUS DEL HERPES. NO ESPECIFICADA,A
B010,MENINGITIS DEBIDA A VARICELA,A
B011,ENCEFALITIS DEBIDA A VARICELA,A
B012,NEUMONIA DEBIDA A VARICELA,A
B018,VARICELA CON OTRAS COMPLICACIONES,A
B019,VARICELA SIN COMPLICACIONES,A
B020,ENCEFALITIS DEBIDA A HERPES ZOSTER,A
