015101,RESECCION TUMOR OSEO  POR CRANEOTOMIA,Z
015102,RESECCION TUMOR OSEO  POR CRANIECTOMIA,Z
015104,CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA,Z
015501,TOMA DE INJERTO OSEO DE CRANEO,Z
016401,DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA,Z
017001,DRENAJE DE COLECCIONES INTRACEREBRALES  POR CRANEOTOMIA,Z
017002,DRENAJE DE COLECCIONES INTRACEREBRALES  GUIADO POR ESTEREOTAXIA,Z
017003,DRENAJE DE COLECCIONES INTRACEREBRALES  POR PUNCION DIRIGIDA,Z
017004,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR  POR CRANEOTOMIA SUBOCCIPITAL,Z
017005,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR  GUIADO POR ESTEREOTAXIA,Z
017209,DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL,Z
017303,DRENAJE DE QUISTE TUMORAL INFRATENTORIAL,Z
017504,RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES)  POR CRANEOTOMIA SUBOCCIPITAL,Z
017505,RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES)  POR CRANEOTOMIA DE FOSA MEDIA,Z
017508,RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL)  POR CRANEOTOMIA SUBOCCIPITAL,Z
017509,RESECCION DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL)  POR CRANEOTOMIA SUBTEMPORAL,Z
017806,DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTRICULAR POR CRANEOTOMIA,Z
017807,DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTRICULAR VIA ENDOSCOPICA,Z
020105,CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA  POR CRANEOTOMIA,Z
020106,CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA  CON AVANCE FRONTO-ORBITARIO,Z
020107,CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA  CON AVANCE FRONTO NASAL (LEFORT III),Z
020108,CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA  CON AVANCE FRONTO MAXILAR (LEFORT II),Z
020201,ESQUIRLECTOMIA CRANEAL A TRAVES DE TREPANACION,Z
020202,DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO,Z
020203,REDUCCION DE FRACTURA CRANEAL (HUNDIMIENTO SIN COMPROMISO DE DURA) CON ESQUIRLECTOMIA Y CRANEOPLASTIA,Z
020204,REDUCCION DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO  CON PLASTIA DURAL Y LIMPIEZA HEMOSTASIA CEREBRAL (DESBRIDAMIENTO) EN UN SOLO TIEMPO,Z
020401,CORRECCION DE DEFECTO OSEO PRE-EXISTENTE POR CRANEOPLASTIA  CON INJERTO AUTOLOGO O HETEROLOGO,Z
020601,CORRECCION DISPLASIA FIBROSA POR CRANEOPLASTIA,Z
021101,CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA  POR CRANEOTOMIA,Z
021102,CORRECCION DE DESGARRO DURAL POST TRAUMATICO EN BOVEDA CRANEANA  CON PLASTIA DURAL,Z
021103,CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO  POR CRANEOTOMIA,Z
021104,CORRECCION DE DESGARRO DURAL EN BASE DE CRANEO  CON PLASTIA AUTOLOGA O HETEROLOGA  POR CRANEOTOMIA,Z
022201,COLOCACION DE CATETER VENTRICULAR AL EXTERIOR,Z
022202,DERIVACION VENTRICULAR A ESPACIO SUBARACNOIDEO CERVICAL,Z
022401,COLOCACION DE CATETER VENTRICULO PERITONEAL SIN VALVULA POR CRANEOTOMIA,Z
022402,COLOCACION DE CATETER VENTRICULO PERITONEAL CON VALVULA POR CRANEOTOMIA,Z
022403,COLOCACION DE CATETER VENTRICULO PERITONEAL SIN VALVULA VIA ENDOSCOPICA,Z
022404,COLOCACION DE CATETER VENTRICULO PERITONEAL CON VALVULA VIA ENDOSCOPICA,Z
023201,DERIVACION VENTRICULOATRIAL,Z
023402,DERIVACION CISTO PERITONEAL (QUISTE VENTRICULAR A PERITONEO),Z
024100,IRRIGACION DE DERIVACION VENTRICULAR SOD,Z
024201,REEMPLAZO PARCIAL DE DERIVACION,Z
024202,REEMPLAZO TOTAL DE DERIVACION,Z
024300,RETIRO DE DERIVACION SOD,Z
025000,IMPLANTE DE CATETER (INTRAVENTRICULAR  INTRACISTICO) CON RESERVORIO SUBCUTANEO SOD,Z
028100,LISIS DE ADHERENCIAS CORTICALES SOD,Z
028201,IMPLANTACION DE CATETER INTRACEREBRAL,Z
028202,IMPLANTACION DE DISPOSITIVO EXTRADURAL,Z
028203,IMPLANTACION DE DISPOSITIVO INTRACEREBRAL (ELECTRODOS O TRASDUCTORES),Z
028302,COLOCACION DE ELECTRODO EPIDURAL TRANSITORIO,Z
028303,IMPLANTACION DE ELECTRODO INTRACRANEAL PROFUNDO,Z
028304,IMPLANTACION DE RECEPTOR ELECTROENCEFALOGRAFICO POR TREPANACION,Z
030208,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINECTOMIA VIA ABIERTA,Z
030209,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINECTOMIA VIA PERCUTANEA,Z
030210,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINECTOMIA VIA ENDOSCOPICA,Z
030211,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA ABIERTA,Z
030212,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA PERCUTANEA,Z
030213,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINECTOMIA VIA ENDOSCOPICA,Z
030214,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ABIERTA,Z
030215,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR HEMILAMINECTOMIA VIA PERCUTANEA,Z
030216,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ENDOSCOPICA,Z
030217,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ABIERTA,Z
030218,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA PERCUTANEA,Z
030219,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR HEMILAMINECTOMIA VIA ENDOSCOPICA,Z
030220,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA ABIERTA,Z
030221,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA PERCUTANEA,Z
030222,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES HASTA DOS SEGMENTOS POR LAMINOTOMIA VIA ENDOSCOPICA,Z
030223,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA ABIERTA,Z
030224,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA PERCUTANEA,Z
030225,EXPLORACION Y DESCOMPRESION DEL CANAL RAQUIDEO Y RAICES ESPINALES MAS DE DOS SEGMENTOS POR LAMINOTOMIA VIA ENDOSCOPICA,Z
030226,EXPLORACION Y DESCOMPRESION HASTA DOS SEGMENTOS POR FORAMINOTOMIA VIA ABIERTA,Z
030227,EXPLORACION Y DESCOMPRESION HASTA DOS SEGMENTOS POR FORAMINOTOMIA VIA PERCUTANEA,Z
030228,EXPLORACION Y DESCOMPRESION HASTA DOS SEGMENTOS POR FORAMINOTOMIA VIA ENDOSCOPICA,Z
030229,EXPLORACION Y DESCOMPRESION MAS DE DOS SEGMENTOS POR FORAMINOTOMIA VIA ABIERTA,Z
030230,EXPLORACION Y DESCOMPRESION MAS DE DOS SEGMENTOS POR FORAMINOTOMIA VIA PERCUTANEA,Z
030231,EXPLORACION Y DESCOMPRESION MAS DE DOS SEGMENTOS POR FORAMINOTOMIA VIA ENDOSCOPICA,Z
031101,RIZOTOMIA DE RAIZ NERVIO ESPINAL VIA ABIERTA,Z
031102,RIZOTOMIA DE RAIZ NERVIO ESPINAL VIA PERCUTANEA,Z
031103,RIZOTOMIA DE RAIZ NERVIO ESPINAL VIA ENDOSCOPICA,Z
031104,RIZOLISIS FACETARIA (NEUROTOMIA DE RAMA MEDIAL) VIA PERCUTANEA,Z
031105,RIZOLISIS FACETARIA (NEUROTOMIA DE RAMA MEDIAL) VIA ENDOSCOPICA,Z
032001,CORDOTOMIA VIA ABIERTA,Z
032002,CORDOTOMIA VIA PERCUTANEA,Z
032003,CORDOTOMIA VIA ENDOSCOPICA,Z
032401,MIELOTOMIA POR ABLACION VIA ABIERTA,Z
033101,PUNCION LUMBAR (DIAGNOSTICA O TERAPEUTICA),Z
033102,DRENAJE LUMBAR TRANSITORIO,Z
033103,MANOMETRIA DE LIQUIDO CEFALORRAQUIDEO,Z
033201,BIOPSIA DE TUMOR INTRADURALES (INTRAMEDULARES Y EXTRAMEDULARES) CERVICALES  DORSALES  LUMBOSACROS O COCCIGEOS,Z
033202,BIOPSIA ABIERTA DE TUMOR DEL FORAMEN MAGNO  VIA LATERAL,Z
035108,CIERRE O LIGADURA DE COMUNICACION PERSISTENTE ENTRE PIEL Y MEDULA ESPINAL (SENO DERMICO),Z
035201,CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA Y DUROPLASTIA,Z
035202,CORRECCION DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA C1-C2 Y DUROPLASTIA,Z
035401,PLASTIA O INJERTO DE MENINGE ESPINAL,Z
035402,ESQUIRLECTOMIA CON PLASTIA O INJERTO DE MENINGE ESPINAL,Z
037101,DERIVACION SIRINGO PERITONEAL O RETROPERITONEAL,Z
037201,DERIVACION SIRINGO SUBDURAL ESPINAL VIA ABIERTA,Z
037202,DERIVACION SIRINGO SUBDURAL ESPINAL VIA PERCUTANEA,Z
037401,DERIVACION Y DRENAJE LUMBAR EXTERNA,Z
037501,DERIVACION SIRINGO PLEURAL ESPINAL,Z
038100,INYECCIONES NEUROLITICAS SUBARACNOIDEAS SOD,Z
038200,NEUROLISIS DE RAICES ESPINALES SOD,Z
039101,INYECCION DE ANESTESICO EN EL CANAL ESPINAL,Z
039102,INYECCION DE OTRA SUSTANCIA TERAPEUTICA EN EL CANAL ESPINAL,Z
039201,NEUROLISIS DEL GANGLIO DE GASSER O ESFENOPALATINO POR RADIOFRECUENCIA,Z
039202,NEUROLISIS DE CADENA SIMPATICA POR RADIOFRECUENCIA,Z
039203,NEUROLISIS DE NERVIOS ESPINALES POR RADIOFRECUENCIA,Z
039204,NEUROLISIS DE NERVIOS PERIFERICOS POR RADIOFRECUENCIA,Z
039304,IMPLANTACION DE ELECTRODOS DE NEUROESTIMULACION ESPINAL POR LAMINECTOMIA,Z
039305,IMPLANTACION DE ELECTRODOS DE NEUROESTIMULACION ESPINAL POR LAPAROSCOPIA,Z
039306,IMPLANTACION DE ELECTRODOS DE NEUROESTIMULACION ESPINAL VIA PERCUTANEA,Z
039307,IMPLANTACION DE NEUROESTIMULADOR ESPINAL VIA ABIERTA,Z
039308,IMPLANTACION DE NEUROESTIMULADOR ESPINAL POR LAMINECTOMIA,Z
039309,IMPLANTACION DE NEUROESTIMULADOR ESPINAL VIA PERCUTANEA,Z
039310,IMPLANTACION DE NEUROESTIMULADOR ESPINAL POR LAPAROSCOPIA,Z
039500,PARCHE HEMATICO EPIDURAL EN CANAL ESPINAL SOD,Z
039700,REEMPLAZO  IRRIGACION O REVISION DE DERIVACION ESPINAL SOD,Z
039800,RETIRO DE DERIVACION ESPINAL SOD,Z
040201,SECCION DE NERVIO TRIGEMINO POR CRANEOTOMIA,Z
040500,GANGLIONECTOMIA DE GASER SOD,Z
040601,IMPLANTACION DE NEUROESTIMULADOR DE NERVIO VAGO,Z
040602,IMPLANTACION DE NEUROESTIMULADOR DE OTRO NERVIO CRANEAL,Z
040603,IMPLANTACION DE NEUROESTIMULADOR DE NERVIO PERIFERICO,Z
040604,SUSTITUCION DE NEUROESTIMULADOR DE NERVIO VAGO,Z
040605,SUSTITUCION DE NEUROESTIMULADOR DE OTRO NERVIO CRANEAL,Z
040606,RETIRO DE NEUROESTIMULADOR DE NERVIO VAGO,Z
040607,RETIRO DE NEUROESTIMULADOR DE OTROS NERVIOS CRANEALES,Z
040608,RETIRO DE NEUROESTIMULADOR NERVIOS PERIFERICOS,Z
040609,COLOCACION DE ELECTRODO TRANSITORIO PARA ESTIMULACION DE NERVIO PERIFERICO,Z
040701,RESECCION DE TUMOR PRIMARIO DEL NERVIO OPTICO  POR CRANEOTOMIA SUBFRONTAL,Z
040702,RESECCION DE TUMOR PRIMARIO DEL NERVIO OPTICO  POR ORBITOTOMIA LATERAL,Z
040704,NEURECTOMIA DEL NERVIO TRIGEMINAL  POR CRANEOTOMIA DE FOSA MEDIA,Z
040705,NEURECTOMIA DE NERVIO PERIFERICO EN CABEZA O CUELLO,Z
040715,RESECCION DE TUMOR BENIGNO DE NERVIO EN BRAZO VIA ABIERTA,Z
040716,RESECCION DE TUMOR MALIGNO DE NERVIO EN BRAZO VIA ABIERTA,Z
040717,RESECCION DE TUMOR BENIGNO DE NERVIO EN ANTEBRAZO VIA ABIERTA,Z
040718,RESECCION DE TUMOR MALIGNO DE NERVIO EN ANTEBRAZO VIA ABIERTA,Z
040719,RESECCION DE TUMOR BENIGNO DE NERVIO EN MANO O DEDOS VIA ABIERTA,Z
040720,RESECCION DE TUMOR MALIGNO DE NERVIO EN MANO O DEDOS VIA ABIERTA,Z
040721,RESECCION DE TUMOR BENIGNO DE NERVIO EN MUSLO VIA ABIERTA,Z
040722,RESECCION DE TUMOR MALIGNO DE NERVIO EN MUSLO VIA ABIERTA,Z
040723,NEURECTOMIA O RESECCION DE TUMOR BENIGNO EN HUECO POPLITEO VIA ABIERTA,Z
040724,NEURECTOMIA O RESECCION DE TUMOR MALIGNO EN HUECO POPLITEO VIA ABIERTA,Z
040725,RESECCION DE TUMOR BENIGNO DE NERVIO EN PIERNA VIA ABIERTA,Z
040726,RESECCION DE TUMOR MALIGNO DE NERVIO EN PIERNA VIA ABIERTA,Z
040727,RESECCION DE TUMOR BENIGNO DE NERVIO EN TOBILLO VIA ABIERTA,Z
040728,RESECCION DE TUMOR MALIGNO DE NERVIO EN TOBILLO VIA ABIERTA,Z
040729,RESECCION DE TUMOR BENIGNO DE NERVIO EN PIE VIA ABIERTA,Z
040730,TOMA DE INJERTO DE NERVIO PERIFERICO,Z
040731,RESECCION DE TUMOR MALIGNO DE NERVIO EN PIE VIA ABIERTA,Z
040732,NEURECTOMIA SUPRASELECTIVA INTRAESPINAL,Z
041101,BIOPSIA NERVIO PERIFERICO (SUPERFICIAL O PROFUNDO)  VIA PERCUTANEA,Z
041102,BIOPSIA (PERCUTANEA) (AGUJA) DE NERVIO O GANGLIO CRANEAL O PERIFERICO,Z
041200,BIOPSIA ABIERTA DE NERVIO O GANGLIO PERIFERICO SOD,Z
042101,RIZOTOMIA DE NERVIO TRIGEMINAL  POR CRANEOTOMIA SUBOCCIPITAL,Z
042102,RIZOTOMIA DE NERVIO XI  POR CRANEOTOMIA SUBOCCIPITAL,Z
042202,NEUROLISIS DE NERVIO VIDIANO POR ELECTROCOAGULACION O ESCISION,Z
042310,NEUROLISIS DE NERVIO EN BRAZO VIA ABIERTA,Z
042311,NEUROLISIS DE NERVIO EN BRAZO VIA ENDOSCOPICA,Z
042312,NEUROLISIS DE NERVIO EN ANTEBRAZO VIA ABIERTA,Z
042313,NEUROLISIS DE NERVIO EN ANTEBRAZO VIA ENDOSCOPICA,Z
042314,NEUROLISIS EN NERVIO DE MANO VIA ABIERTA,Z
042315,NEUROLISIS DE NERVIOS EN DEDOS DE MANO VIA ABIERTA,Z
042316,NEUROLISIS DE NERVIO EN MUSLO VIA ABIERTA,Z
042317,NEUROLISIS DE NERVIO EN MUSLO VIA ENDOSCOPICA,Z
042318,NEUROLISIS DE NERVIO EN HUECO POPLITEO VIA ABIERTA,Z
042319,NEUROLISIS DE NERVIO EN PIERNA VIA ABIERTA,Z
042320,NEUROLISIS DE NERVIO EN PIERNA VIA ENDOSCOPICA,Z
042321,NEUROLISIS DE NERVIO EN TOBILLO VIA ABIERTA,Z
042322,NEUROLISIS DE NERVIO EN TOBILLO VIA ENDOSCOPICA,Z
042323,NEUROLISIS DE NERVIO EN PIE EXCEPTO DEDO DE PIE VIA ABIERTA,Z
042324,NEUROLISIS DE NERVIO EN DEDO DE PIE VIA ABIERTA,Z
042325,NEUROLISIS DE OTRO NERVIO PERIFERICO VIA ABIERTA,Z
042326,NEUROLISIS DE OTRO NERVIO PERIFERICO VIA ENDOSCOPICA,Z
043001,ANASTOMOSIS DE NERVIO FACIAL,Z
043102,NEURORRAFIA DE NERVIO DENTARIO,Z
043103,NEURORRAFIA DE NERVIO EN BRAZO,Z
043104,NEURORRAFIA DE NERVIO EN ANTEBRAZO,Z
043105,NEURORRAFIA DE NERVIO EN MANO,Z
043106,NEURORRAFIA DE NERVIO COLATERAL EN DEDO DE MANO,Z
043108,NEURORRAFIA DE NERVIO EN PIERNA,Z
043109,NEURORRAFIA DE NERVIO EN PIE,Z
044101,DESCOMPRESION NEUROVASCULAR DE NERVIO TRIGEMINAL  POR CRANEOTOMIA SUBOCCIPITAL,Z
044202,DESCOMPRESION INTRACANALICULAR DE NERVIO OPTICO  VIA TRANSNASAL ENDOSCOPICA,Z
044203,DESCOMPRESION NEUROVASCULAR DE NERVIOS CRANEALES BAJOS (IX X XI XII),Z
044204,DESCOMPRESION NEUROVASCULAR DE NERVIO ACUSTICO VESTIBULAR,Z
044205,DESCOMPRESION INTRACANALICULAR DE NERVIO FACIAL,Z
044207,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSLABERINTICA,Z
044208,DESCOMPRESION DE NERVIO FACIAL INTRATEMPORAL VIA TRANSMASTOIDEA,Z
044301,DESCOMPRESION DE NERVIO EN TUNEL DEL CARPO VIA ENDOSCOPICA,Z
044401,DESCOMPRESION DE NERVIO EN TUNEL DEL TARSO VIA ABIERTA,Z
044402,DESCOMPRESION DE NERVIO EN TUNEL DEL TARSO VIA ENDOSCOPICA,Z
046103,TRANSPOSICION DE NERVIO PERIFERICO EN MIEMBRO SUPERIOR VIA ABIERTA,Z
046104,TRANSPOSICION DE NERVIO PERIFERICO MIEMBRO INFERIOR VIA ABIERTA,Z
047102,REPARACION DE NERVIO FACIAL  POR ANASTOMOSIS TERMINO TERMINAL,Z
048101,BLOQUEO DE NERVIO TRIGEMINAL O ESFENOPALATINO,Z
048201,INYECCION DE AGENTE ANESTESICO PARA NERVIO PERIFERICO,Z
048202,INFUSION CONTINUA DE OTRA SUSTANCIA TERAPEUTICA PARA NERVIO PERIFERICO,Z
048203,INYECCION DE AGENTE ANESTESICO EN ESPACIO INTERFASCIAL DE NERVIO PERIFERICO,Z
048204,ANESTESIA REGIONAL INTRAVENOSA,Z
048301,INYECCION DE ANESTESIA EN NERVIO DE FACETA ARTICULAR VERTEBRAL CON FINES ANALGESICOS,Z
048401,INYECCION DE ANESTESIA EN DISCO INTERVERTEBRAL CON FINES ANALGESICOS,Z
048402,INYECCION DE ANESTESIA EN ARTICULACION SACROILIACA CON FINES ANALGESICOS,Z
048403,INYECCION DE ANESTESIA TRANSFORAMINAL CON FINES ANALGESICOS,Z
048404,INYECCION DE ANESTESIA EPIDURAL CAUDAL CON FINES ANALGESICOS,Z
051100,BIOPSIA DE NERVIO O GANGLIO SIMPATICO SOD,Z
052101,GANGLIONECTOMIA ESFENOPALATINA,Z
052200,SIMPATECTOMIA CERVICAL SOD,Z
052300,SIMPATECTOMIA LUMBAR SOD,Z
052401,SIMPATECTOMIA PRESACRA POR LAPAROTOMIA,Z
052402,SIMPATECTOMIA PRESACRA POR LAPAROSCOPIA,Z
052500,SIMPATECTOMIA PERIARTERIAL SOD,Z
052601,RESECCION DE TUMOR EN NERVIO O GANGLIO SIMPATICO,Z
052602,RESECCION DE TUMOR EN NERVIO O GANGLIO SIMPATICO CERVICAL,Z
052603,SIMPATECTOMIA DIGITAL (DEDO),Z
052604,TIMPANOSIMPATECTOMIA [NEURECTOMIA DEL JACOBSON],Z
053101,BLOQUEO DE NERVIO SIMPATICO UNICO,Z
053102,BLOQUEO DE PLEJO BRAQUIAL,Z
053103,BLOQUEO DE PLEJO LUMBOSACRO,Z
053104,BLOQUEO DE SENO CAROTIDEO,Z
053105,BLOQUEO DE UNION MIONEURAL,Z
053106,BLOQUEO PARACERVICAL BILATERAL,Z
053107,BLOQUEO DE NERVIO FRENICO,Z
053108,BLOQUEO DE PLEJO CELIACO,Z
053109,BLOQUEO DE NERVIOS PUDENDOS,Z
053110,BLOQUEO DE NERVIO VAGO,Z
053111,BLOQUEO DEL NERVIO HIPOGASTRICO SUPERIOR,Z
053112,BLOQUEO DE NERVIO ESPLACNICO,Z
053113,BLOQUEO REGIONAL CONTINUO,Z
053114,BLOQUEO SIMPATICO REGIONAL (CERVICAL  TORACICO O LUMBAR),Z
053115,BLOQUEO DEL SIMPATICO PRESACRO (GANGLIO IMPAR DE WALTER),Z
053121,INYECCION DE ANESTESICO EN GANGLIO SIMPATICO CILIAL,Z
053201,NEUROLISIS DE PLEJO BRAQUIAL,Z
053202,NEUROLISIS DE PLEJO LUMBAR,Z
053203,NEUROLISIS DE PLEJO CERVICAL (SUPERFICIAL O PROFUNDO),Z
053204,NEUROLISIS DE PLEJO TORACICO,Z
053205,NEUROLISIS DE PLEJO CELIACO,Z
053206,NEUROLISIS DE PLEJO HIPOGASTRICO,Z
053207,NEUROLISIS DEL GANGLIO SIMPATICO PRESACRO [GANGLIO IMPAR DE WALTER],Z
053301,GANGLIOLISIS EN GANGLIOS SIMPATICOS  POR RADIOFRECUENCIA O FENOLIZACION,Z
053303,GANGLIOLISIS EN GANGLIOS PARAVERTEBRALES  POR RADIOFRECUENCIA O FENOLIZACION,Z
053304,GANGLIOLISIS EN GANGLIO DEL V PAR [GASSER] POR RADIOFRECUENCIA O FENOLIZACION,Z
054101,NEURORRAFIA DE TRONCO DE PLEJO BRAQUIAL,Z
054102,NEURORRAFIA DE TRONCO DE PLEJO BRAQUIAL  CON INJERTO DE TRONCOS,Z
